parentid,objectid,title,collection,date_created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
,garycoll011,China Collins performs,gary_carrington_collection,ca.1993-2004,China Collins performs in the upper level of Soakie's. China dons a matching sparkly gold long-sleeve and cap.,China Collins; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",ChinaCollins001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/ChinaCollins001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/chinacollins001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/chinacollins001_soakies_garycarringtoncollection_bqkc_th.jpg,A feminine performer entertains at Soakie's.,
,garycoll012,China Collins in pink latex,gary_carrington_collection,ca.1993-2004,"China Collins poses in a baby pink latex dress and hat, complemented with a crystal necklace and earrings.",China Collins,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",ChinaCollins002,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/ChinaCollins002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/chinacollins002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/chinacollins002_soakies_garycarringtoncollection_bqkc_th.jpg,A feminine performer poses in matching pink attire backstage at Soakie's.,
,garycoll013,"Treshawn Seymour, Eric Robinson and Derome Hubber",gary_carrington_collection,ca.1993-2004,"Treshawn Seymour (left), Eric Robinson, and Derome Hubber pose for a photo at Soakie's bar.",Treshawn Seymour; Eric Robinson; Derome Hubber; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",EricRobinson001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/EricRobinson001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/ericrobinson001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/ericrobinson001_soakies_garycarringtoncollection_bqkc_th.jpg,A feminine performer and two masculine patrons in front of the bar at Soakie's. One patron hugs the performer–both of them smile; the other looks straight on to the camera.,
,garycoll014,Gary and Nikita Carrington at Bannister Mall,gary_carrington_collection,ca.1993-2004,"Gary Carrington (left) poses alongside Nikita Carrington/Orlando Hamilton inside a photo booth at the Bannister Mall. (5301 E Bannister Rd Ste 5600, Kansas City, MO 64137)",Gary Carrington; Nikita Carrington; Bannister Mall; Orlando Hamilton,"Soakie's (Kansas City, MO)",38.953125,-94.528699,"gary_carrington_collection, {B/qKC}",OrlandoHamilton001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/OrlandoHamilton001_BannisterMall_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/orlandohamilton001_bannistermall_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/orlandohamilton001_bannistermall_garycarringtoncollection_bqkc_th.jpg,Three patrons stand in front of the bar at Soakie's. Two on the left happily embrace each other.,
,garycoll015,Steve and Orlando Hamilton; Soakie's dartboard,gary_carrington_collection,ca.1993-2004,Steve and Orlando Hamilton/Nikita Carrington stand in front of the dartboard at Soakie’s.,Steve Hamilton; Orlando Hamilton; Soakie’s; Nikita Carrington,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",OrlandoHamilton002,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/OrlandoHamilton002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/orlandohamilton002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/orlandohamilton002_soakies_garycarringtoncollection_bqkc_th.jpg,Two men pose in front of dart board at Soakie's.,
,garycoll016,Gary Carrington performs ,gary_carrington_collection,ca.1993-2004,"Gary Carrington performing in the upper room (“dance floor”) of Soakie’s, wearing a black and white grid-patterned coat.",Gary Carrington; Soakie’s; Performance,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",GaryCarrington001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/GaryCarrington001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/garycarrington001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/garycarrington001_soakies_garycarringtoncollection_bqkc_th.jpg,Garry Carrington performs in the middle of a crowd at Soakie's.,
,garycoll017,Gary Carrington emcees,gary_carrington_collection,ca.1993-2004,Gary Carrington emcees for a show at Soakie’s. His nametag reads “Promoter” on his rainbow button-up shirt. ,Gary Carrington; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",GaryCarrington002,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/GaryCarrington002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/garycarrington002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/garycarrington002_soakies_garycarringtoncollection_bqkc_th.jpg,Gary Carrington speaks into a mic.,
,garycoll018,Gary Carrington at the Snooty Fox,gary_carrington_collection,ca.1993-2004,"Gary Carrington poses for a photo at the Snooty Fox, a former “after-hours” spot in Kansas City at 3150 Gillham Plaza, Kansas City, MO 64109.",Gary Carrington; Snooty Fox,"Snooty Fox (Kansas City, MO)",39.0666508,-94.5796922,"gary_carrington_collection, {B/qKC}",GaryCarrington003,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/GaryCarrington003_SnootyFox_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/garycarrington003_snootyfox_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/garycarrington003_snootyfox_garycarringtoncollection_bqkc_th.jpg,Gary Carrington poses at the Snooty Fox.,
,garycoll019,Group photo inside Soakie's,gary_carrington_collection,ca.1993-2004,"Guests and performers of Soakie's pose for a photo inside the bar. Kermit, Treshawn Seymour and Lester can be seen. Other individuals remain unidentified.",Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",GroupPhoto001,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/GroupPhoto001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/groupphoto001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/groupphoto001_soakies_garycarringtoncollection_bqkc_th.jpg,A group of eight Soakie's patrons pose for a photo.,
,garycoll020,Group photo outside Soakie's,gary_carrington_collection,ca.1993-2004,"A group of Soakie’s attendees and performers pose outside in front of the sign. Pictured (from L-R, by approximate row): Nykizha Iman, Tracy Carrington, Tremaine Scott, Nikita Carrington, Mocha Collins, Dovee Love, Destiny Luv, China Collins, Treshawn Seymour, Lord Biskitt Carrington, Precious Seymour, Lady Keisha, Lester",Soakie’s; Nykizha Iman; Tracy Carrington; Tremaine Scott; Mocha Collins; Dovee Love; Lord Biskitt Carrington; China Collins; Treshawn Seymour; Lady Keisha; Lester; Nikita Carringtonl Precious Seymour,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",GroupPhoto002,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/GroupPhoto002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/groupphoto002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/groupphoto002_soakies_garycarringtoncollection_bqkc_th.jpg,"A group of thirteen people stand outside Soakie's, in front of the building's name painted on the wall.",
